iter	MultiClass
0	1.022177422
1	0.9620902344
2	0.9133086719
3	0.8719884375
4	0.8367373437
5	0.8069574219
6	0.7813327344
7	0.7591144531
8	0.7400265625
9	0.7230669531
10	0.7074669531
11	0.6938482812
12	0.6821846875
13	0.6718953125
14	0.6626182812
15	0.6542511328
16	0.6462494922
17	0.6396454687
18	0.6332001953
19	0.6275144922
20	0.6228640625
21	0.6179737109
22	0.6140340625
23	0.6103960547
24	0.6066116016
25	0.6033659766
26	0.6000942188
27	0.5972681641
28	0.5949761719
29	0.5927392969
30	0.5910690234
31	0.5891399609
32	0.5873025781
33	0.5855174219
34	0.5834900391
35	0.5818314844
36	0.5802071484
37	0.5788898437
38	0.5778192578
39	0.5762903516
40	0.5752671094
41	0.5742108984
42	0.5725530078
43	0.5714646875
44	0.5706589453
45	0.569888125
46	0.5684325391
47	0.5669307031
48	0.5657602344
49	0.5651817969
50	0.56412625
51	0.5635120313
52	0.5627781641
53	0.5619596094
54	0.5612222656
55	0.5604372656
56	0.5595825
57	0.5585769531
58	0.5578187109
59	0.5569862891
60	0.5563900391
61	0.5557971094
62	0.5550834375
63	0.5545429297
64	0.5541160547
65	0.5535698047
66	0.5532081641
67	0.5525788281
68	0.5521407422
69	0.5516107422
70	0.5509928906
71	0.5503765625
72	0.5495303516
73	0.5491361719
74	0.5487786719
75	0.5482909766
76	0.5478570703
77	0.5473591406
78	0.5469370313
79	0.5463537109
80	0.5460030078
81	0.5455028516
82	0.5448317969
83	0.5444060938
84	0.5438195313
85	0.5432339453
86	0.5429071484
87	0.5424931641
88	0.5421473047
89	0.5418321094
90	0.5414080859
91	0.5411363281
92	0.5408692188
93	0.5404117188
94	0.5399675781
95	0.5396724609
96	0.5393278516
97	0.538905
98	0.5383530859
99	0.5379848828
100	0.5377246484
101	0.5372100391
102	0.5367917187
103	0.5363767188
104	0.5360663672
105	0.5356279687
106	0.5354096094
107	0.5352302734
108	0.5348403125
109	0.5345396094
110	0.5342754297
111	0.5339343359
112	0.5335917969
113	0.533341875
114	0.5328282031
115	0.5325676563
116	0.5321504297
117	0.5317517578
118	0.5313900781
119	0.531088125
120	0.5309375
121	0.5305451172
122	0.5303076562
123	0.5301574219
124	0.5299001562
125	0.5293797656
126	0.5292293359
127	0.5287785938
128	0.5286438672
129	0.5283379297
130	0.5281822656
131	0.5279894922
132	0.5277110547
133	0.5273747656
134	0.5269597656
135	0.52680375
136	0.5264504688
137	0.5262765625
138	0.5259149609
139	0.5256397266
140	0.5252497656
141	0.5249801563
142	0.5246792969
143	0.5245601562
144	0.5244205469
145	0.5241925
146	0.5239235937
147	0.5236915234
148	0.5235620313
149	0.5230444141
150	0.5225385547
151	0.5223632812
152	0.5221738672
153	0.5220159766
