iter	Passed	Remaining
0	87	351102
1	102	203945
2	116	155256
3	128	128345
4	142	113699
5	153	101902
6	163	93203
7	176	87834
8	190	84341
9	201	80311
10	212	77144
11	229	76176
12	242	74376
13	253	72180
14	266	70831
15	277	69167
16	289	67860
17	302	66963
18	315	66064
19	328	65300
20	342	64866
21	353	63991
22	365	63272
23	377	62597
24	389	61874
25	406	62073
26	417	61368
27	429	60870
28	441	60441
29	458	60687
30	470	60269
31	481	59728
32	493	59292
33	506	59094
34	517	58674
35	528	58236
36	540	57876
37	550	57444
38	561	57070
39	579	57398
40	591	57128
41	607	57252
42	619	57040
43	630	56703
44	641	56401
45	652	56047
46	663	55781
47	675	55597
48	686	55315
49	696	54984
50	707	54813
51	718	54569
52	730	54419
53	743	54297
54	754	54098
55	767	54036
56	779	53904
57	790	53741
58	804	53763
59	818	53731
60	828	53526
61	840	53389
62	852	53270
63	864	53156
64	876	53048
65	890	53072
66	903	53036
67	914	52874
68	926	52766
69	937	52647
70	949	52528
71	960	52388
72	973	52367
73	984	52253
74	996	52168
75	1010	52187
76	1024	52219
77	1037	52164
78	1047	52007
79	1059	51938
80	1072	51899
81	1084	51794
82	1096	51734
83	1108	51666
84	1119	51549
85	1130	51446
86	1141	51337
87	1154	51321
88	1172	51519
89	1183	51434
90	1195	51346
91	1207	51276
92	1217	51151
93	1229	51075
94	1242	51053
95	1254	50999
96	1266	50955
97	1278	50896
98	1295	51059
99	1308	51028
100	1319	50948
101	1335	51029
102	1350	51109
103	1364	51112
104	1379	51179
105	1394	51235
106	1408	51252
107	1420	51197
108	1434	51214
109	1446	51146
110	1458	51110
111	1470	51062
112	1482	50984
113	1493	50897
114	1506	50895
115	1519	50882
116	1532	50864
117	1545	50837
118	1560	50903
119	1572	50856
120	1584	50796
121	1596	50749
122	1608	50701
123	1620	50656
124	1632	50599
125	1644	50554
126	1654	50470
127	1669	50504
128	1680	50434
129	1692	50382
130	1704	50352
131	1716	50293
132	1734	50418
133	1749	50482
134	1765	50542
135	1776	50480
136	1788	50440
137	1801	50404
138	1813	50372
139	1825	50343
140	1842	50419
141	1853	50353
142	1865	50317
143	1877	50262
144	1887	50189
145	1901	50202
146	1914	50171
147	1926	50133
148	1939	50119
149	1950	50063
150	1962	50024
151	1976	50043
152	1988	50006
153	2006	50106
154	2020	50110
155	2036	50172
156	2053	50254
157	2064	50196
158	2076	50155
159	2088	50113
160	2101	50104
161	2112	50056
162	2124	50018
163	2140	50065
164	2152	50024
165	2164	49996
166	2176	49948
167	2189	49932
168	2203	49958
169	2215	49911
170	2226	49851
171	2239	49850
172	2252	49830
173	2265	49822
174	2278	49794
175	2290	49771
176	2303	49762
177	2315	49720
178	2326	49669
179	2338	49626
180	2355	49700
181	2370	49728
182	2383	49721
183	2395	49680
184	2409	49678
185	2422	49674
186	2434	49646
187	2449	49661
188	2460	49619
189	2472	49578
190	2485	49561
191	2500	49584
192	2512	49567
193	2524	49518
194	2535	49465
195	2547	49444
196	2559	49404
197	2573	49407
198	2585	49376
199	2597	49343
200	2607	49288
201	2620	49269
202	2633	49262
203	2646	49241
204	2658	49207
205	2675	49268
206	2687	49245
207	2698	49195
208	2712	49199
209	2729	49254
210	2741	49232
211	2754	49217
212	2765	49168
213	2778	49164
214	2792	49156
215	2804	49125
216	2817	49114
217	2828	49069
218	2839	49019
219	2857	49098
220	2870	49079
221	2887	49132
222	2903	49169
223	2916	49165
224	2927	49123
225	2938	49074
226	2951	49049
227	2966	49072
228	2977	49034
229	2988	48987
230	2999	48937
231	3014	48955
232	3024	48902
233	3035	48853
234	3047	48818
235	3057	48768
236	3068	48722
237	3083	48735
238	3094	48695
239	3105	48646
240	3117	48619
241	3129	48591
242	3145	48639
243	3158	48613
244	3169	48572
245	3180	48535
246	3191	48493
247	3201	48437
248	3213	48404
249	3224	48364
250	3238	48368
251	3250	48348
252	3267	48386
253	3279	48370
254	3290	48326
255	3302	48296
256	3314	48279
257	3326	48247
258	3342	48285
259	3354	48246
260	3366	48220
261	3378	48196
262	3390	48170
263	3405	48192
264	3417	48171
265	3428	48134
266	3439	48094
267	3451	48063
268	3462	48023
269	3473	47989
270	3485	47963
271	3497	47933
272	3510	47921
273	3522	47894
274	3532	47855
275	3544	47831
276	3557	47808
277	3568	47773
278	3582	47780
279	3593	47748
280	3613	47818
281	3625	47803
282	3637	47774
283	3650	47760
284	3661	47730
285	3672	47696
286	3687	47708
287	3698	47663
288	3710	47640
289	3721	47612
